cell_id,state_label,state_type,state_depth,ted_parent_state,ted_cluster,ted_depth,ted_cellID
cell_1,8,internal_or_root,4,7,8,3,1
cell_2,6,internal_or_root,2,5,6,1,2
cell_3,11,internal_or_root,3,6,11,2,3
cell_4,11,internal_or_root,3,6,11,2,4
cell_5,2,terminal,6,10,2,5,5
cell_6,2,terminal,6,10,2,6,6
cell_7,7,internal_or_root,3,6,7,2,7
cell_8,1,terminal,6,9,1,5,8
cell_9,3,terminal,6,13,3,6,9
cell_10,3,terminal,6,13,3,6,10
cell_11,3,terminal,6,13,3,5,11
cell_12,3,terminal,6,13,3,5,12
cell_13,12,internal_or_root,4,11,12,3,13
cell_14,11,internal_or_root,3,6,11,2,14
cell_15,3,terminal,6,13,3,6,15
cell_16,3,terminal,6,13,3,5,16
cell_17,1,terminal,6,9,1,6,17
cell_18,1,terminal,6,9,1,6,18
cell_19,1,terminal,6,9,1,6,19
cell_20,1,terminal,6,9,1,6,20
cell_21,1,terminal,6,9,1,5,21
cell_22,1,terminal,6,9,1,6,22
cell_23,8,internal_or_root,4,7,8,3,23
cell_24,8,internal_or_root,4,7,8,3,24
cell_25,7,internal_or_root,3,6,7,2,25
cell_26,7,internal_or_root,3,6,7,2,26
cell_27,1,terminal,6,9,1,5,27
cell_28,8,internal_or_root,4,7,8,3,28
cell_29,7,internal_or_root,3,6,7,2,29
cell_30,8,internal_or_root,4,7,8,3,30
cell_31,10,internal_or_root,5,8,10,4,31
cell_32,10,internal_or_root,5,8,10,4,32
cell_33,13,internal_or_root,5,12,13,4,33
cell_34,3,terminal,6,13,3,6,34
cell_35,3,terminal,6,13,3,6,35
cell_36,3,terminal,6,13,3,6,36
cell_37,13,internal_or_root,5,12,13,4,37
cell_38,3,terminal,6,13,3,5,38
cell_39,3,terminal,6,13,3,6,39
cell_40,13,internal_or_root,5,12,13,4,40
cell_41,3,terminal,6,13,3,6,41
cell_42,3,terminal,6,13,3,6,42
cell_43,3,terminal,6,13,3,6,43
cell_44,3,terminal,6,13,3,6,44
cell_45,3,terminal,6,13,3,6,45
cell_46,3,terminal,6,13,3,6,46
cell_47,3,terminal,6,13,3,6,47
cell_48,3,terminal,6,13,3,6,48
cell_49,3,terminal,6,13,3,6,49
cell_50,3,terminal,6,13,3,6,50
cell_51,3,terminal,6,13,3,6,51
cell_52,3,terminal,6,13,3,6,52
cell_53,3,terminal,6,13,3,6,53
cell_54,3,terminal,6,13,3,6,54
